%HTA01.xlt		3 mS Echo Tracking			
%c-PRE	c-DIAM	c-ECG	f-PRE	f-DIAM	f-ECG
114.1800003	6.257999897	-0.02808	115.7317123	8.717000008	0.01099
116.1761475	6.256000042	-0.02564	115.7317123	8.715999603	0.01099
118.0005951	6.255000114	-0.0232	115.7317123	8.715000153	0.01343
119.7391815	6.254000187	-0.0232	115.7317123	8.713999748	0.015869999
121.2631226	6.251999855	-0.0232	115.7317123	8.713999748	0.015869999
122.5724258	6.250999928	-0.02076	115.7317123	8.713000298	0.01099
123.7100143	6.249000072	-0.01832	115.7317123	8.713000298	0.01099
124.7188187	6.247000217	-0.01343	115.7317123	8.711999893	0.008547
125.5559158	6.245999813	-0.01343	115.7317123	8.711000443	0.008547
126.2856903	6.243999958	-0.008547	115.7317123	8.711000443	0.006105
126.9725418	6.243000031	-0.006105	115.7317123	8.710000038	0.003663
127.5950012	6.241000175	-0.006105	115.7317123	8.708999634	0.001221
128.17453	6.239999771	-0.001221	115.7317123	8.708000183	-0.001221
128.6896667	6.237999916	-0.001221	115.7317123	8.706999779	-0.003663
129.1618652	6.236999989	0.003663	115.7317123	8.706000328	-0.006105
129.634079	6.236999989	0.006105	115.7317123	8.704000473	-0.01099
130.1062775	6.235000134	0.01099	115.7317123	8.703000069	-0.015869999
130.6428833	6.232999802	0.01343	115.7317123	8.701999664	-0.02076
131.050705	6.231999874	0.01343	115.7317123	8.701000214	-0.02076
131.5229034	6.230999947	0.01832	115.7317123	8.699000359	-0.0232
131.9521942	6.230000019	0.02076	115.7317123	8.697999954	-0.0232
132.3170776	6.229000092	0.02564	115.7317123	8.69699955	-0.02808
132.574646	6.227000237	0.02564	115.7317123	8.696000099	-0.03053
132.8966064	6.227000237	0.03053	115.7317123	8.694999695	-0.035409998
133.1541748	6.225999832	0.035409998	115.7317123	8.694000244	-0.03297
133.3688049	6.224999905	0.03785	115.7317123	8.692000389	-0.035409998
133.5834503	6.223999977	0.042739999	115.7317123	8.690999985	-0.035409998
133.7766266	6.22300005	0.04518	115.7317123	8.68999958	-0.03785
133.9483337	6.222000122	0.052499998	115.7317123	8.68900013	-0.035409998
133.991272	6.221000195	0.052499998	115.7317123	8.687999725	-0.03785
134.0556641	6.21999979	0.059829999	115.7317123	8.687000275	-0.035409998
134.098587	6.218999863	0.067160003	115.7317123	8.68599987	-0.03785
134.098587	6.217999935	0.067160003	115.7317123	8.684000015	-0.03785
134.14151	6.217000008	0.076920003	115.7317123	8.684000015	-0.040290002
134.2059021	6.21600008	0.076920003	115.774559	8.68200016	-0.035409998
134.2488403	6.215000153	0.086690001	115.7317123	8.680999756	-0.035409998
134.3132324	6.212999821	0.091580003	115.774559	8.680000305	-0.03297
134.4205475	6.212999821	0.098899998	115.7317123	8.678999901	-0.03053
